english,pos,twi
foot,NOUN,nantabono 
toe,NOUN,nansoaa
toenail,NOUN,nan bɔwerɛ 
ankle,NOUN,nanpɔso
sole,NOUN,nan mmuromu; nan mu 
bone,NOUN,dompe 
joint,NOUN,ahyiaeɛ 
rectum,NOUN,kɔkɔbo 
bone-marrow,NOUN,akyim
penis,NOUN,kɔteɛ; kɔte 
backbone,NOUN,berɛmo 
buttock,NOUN,ɛtoɔ; ɛto; toɔ; to
lip,NOUN,anofafa 
wrist,NOUN,abakɔn
lump,NOUN,badwoa 
knee-pit-popliteal-fossa,NOUN,nan kokom
toothache,NOUN,kaka
measles,NOUN,ntoburo
gonorrhoea,NOUN,babaso
hiv-aids,NOUN,babaso werɛmfoɔ
cancer,NOUN,kokoram
vomit,NOUN,ɛfeɛ
cripple,NOUN,obubuafoɔ
coconut,NOUN, 
stroke,NOUN,nnwodwoeɛ
palm-tree,NOUN,abɛ dua
candidiasis,NOUN,odeepua
cold,ADJECTIVE,nwunu; nwunwunu; nwunwuunwunu 
bean,NOUN,adua
palm-fruit,NOUN,abɛ
ladle,NOUN,kwantere
sponge,NOUN,sapɔ
tigernut,NOUN,atadwe
sieve,NOUN,sɔneeɛ
plate,NOUN,prɛte 
fork,NOUN,adinam
hearth,NOUN,asommurofi
kitchen,NOUN,mukaase
bathroom,NOUN,adwareeɛ
dining-place,NOUN,adidibea
lantern,NOUN,kanea
comb,NOUN,afe
pestle,NOUN,wɔma
smoke,NOUN,wisie
mortar,NOUN,waduro
basket,NOUN,kɛntɛn
soap,NOUN,samina
window,NOUN,mpoma
bucket,NOUN,bokiti 
towel,NOUN,towuro 
veranda,NOUN,abranaa so; abranaa
broom,NOUN,praeɛ
cutlass,NOUN,nkrantɛ
oven,NOUN,fononoo
knife,NOUN,sekammoa
fish,NOUN,nsuomnam
meat,NOUN,mogyanam
mirror,NOUN,ahwehwɛ
spectacles,NOUN,ahwehwɛniwa
eyeglasses,NOUN,ahwehwɛniwa
vegetable,NOUN,atosodeɛ
bedroom,NOUN,piam
hall,NOUN,asa so; asa
sugarcane,NOUN,ahwedeɛ
chair,NOUN,akonnwa 
table,NOUN,ɛpono
spoon,NOUN,atere
cloth,NOUN,ntoma
beef,NOUN,nantwinam
mutton,NOUN,odwannam
pork,NOUN,prakonam
bed-2,NOUN,mpa 
desk,NOUN,adamadwa
pillow,NOUN,sumiiɛ
palm-oil,NOUN,abɛ ngo
pillowcase,NOUN,sumiiɛ nnuraho
rag,NOUN,ntomago
mat,NOUN,kɛtɛ
bedsheet,NOUN,nnasoɔ
blanket,NOUN,adasoɔ
lobster,NOUN,ɔbɔnkɔ 
door,NOUN,ɛpono; pono
palm-kernel,NOUN,adwe 
pear,NOUN,paya 
palm-kernel-oil,NOUN,adwe ngo
herring,NOUN,ɛmane
snail,NOUN,nwa 
lime,NOUN,ankaa twadeɛ
peanut,NOUN,nkateɛ
potato,NOUN,aborɔdwomaa
bread,NOUN,paanoo
yam,NOUN,bayerɛ
pineapple,NOUN,aborɔbɛ
cocoyam,NOUN,mankani
tomato,NOUN,nɛnkyemɔɔno
cocoyam-leaf,NOUN,kontomire 
banana,NOUN,kwadu
egg,NOUN,kosua 
flour,NOUN,esam; sam
orange,NOUN,ankaa
salted-dried-tilapia,NOUN,koobi
maize,NOUN,aburoo
cassava,NOUN,bankye
plantain,NOUN,borɔdeɛ
pepper,NOUN,mako
ginger,NOUN,akekaduro
rice,NOUN,ɛmo
sugar,NOUN,asikyire
salt,NOUN,nkyene
pawpaw,NOUN,borɔferɛ
amnesia,NOUN,awerɛfireyareɛ
onion,NOUN,gyeene
dough,NOUN,ɛmmɔre
garden-egg,NOUN,nyaadewa
pile,VERB,boa ano; boaboa ano 
haemorrhoid,NOUN,kooko
okro,NOUN,nkuruma
