english,pos,twi
tidy,ADJECTIVE,ɛho te; deɛ ɛho te
tighten,VERB,mia mu
threaten,VERB,bɔ kɔkɔ 
thresh,VERB,tutu
thrift,NOUN,sikadie mu ahwɛyie
thrill,NOUN,anigyeɛ
thrive,VERB,tu mpɔn
throb,VERB,bɔ; bɔ kinkim
throe,NOUN,ɛyeaa
throne,NOUN,ahennwa
thrust,VERB,pia wura mu; pia hyɛ mu
thirst,NOUN,nsukɔm
thorn,NOUN,nsɔeɛ
yawn,VERB,hram
hiccup,NOUN,kɔterekɔ
thought,NOUN,adwene 
thrash,VERB,bo; bo basabasa 
threat,NOUN,ahunahuna
theatre,NOUN,agodibea
theft,NOUN,korɔno
thievery,NOUN,korɔno
theme,NOUN,nnyinasosɛm
theocracy,NOUN,asɔfoɔ amammuo
theology,NOUN,Nyamesɛm
therapy,NOUN,ayaresa 
healthcare,NOUN,ayarehwɛ 
testament,NOUN,nsamanseɛ 
thanksgiving,NOUN,aseda
testimony,NOUN,adanseɛ
testimonial,NOUN,adansedie krataa
tete-a-tete,NOUN,kokoam nkɔmmɔ; kokoam nkutahodie
textile,NOUN,ntoma
thatch,VERB,kuru so 
thank,VERB,da ase
testify,VERB,di adanseɛ
transparent,ADJECTIVE,ahwɛanimhunuakyire 
transpire,VERB,da adi
transplant,VERB,tu tim
transport,VERB,soa kɔ 
tree,NOUN,dua 
guess,VERB,bɔ srɛ mu ka; bɔ srɛm ka
trek,NOUN,akwantuo 
forgetfulness,NOUN,awerɛfire
forget,VERB,werɛ firi 
sempoa,NOUN,two and a half pesewas
disrespect,NOUN,animtia; animtiabuo
trickster,NOUN,ɔdaadaafoɔ
trickle,VERB,sosɔ
triennial,ADJECTIVE,ɛsi mfeɛ mmiɛnsa mmiɛnsa
tumour,NOUN,ahonhono
tumbler,NOUN,tɔmmɛ 
tutor,NOUN,ɔkyerɛkyerɛni 
disquiet,NOUN,ɔhaw 
disrupt,VERB,sɛe
disruption,NOUN,basabasayɔ
dissect,VERB,pae mu
disseminate,VERB,ma ɛhyeta
dissent,NOUN,akasakasa
dissimulate,VERB,de sie; de atenka sie 
disservice,NOUN,ɔhaw
dissipate,VERB,yera; ma ɛyera 
dispatch,VERB,soma
dispel,VERB,ma ɛyera
dispensary,NOUN,nnufraeɛbea
typewriter,NOUN,atintim fidie
dispense,VERB,kyɛ 
disperse,VERB,hwete
typist,NOUN,otintimfoɔ
display,VERB,yi adi; da adi
displace,VERB,yi firi ne gyinabea
dispute,NOUN,ntawantawa
tyranny,NOUN,atirimuɔden amammuo
disqualify,VERB,yi firi mu 
disrobe,VERB,yi atadeɛ 
disparity,NOUN,nsonsonoeɛ 
turtle,NOUN,osudanna
tyre,NOUN,tae 
tyrant,NOUN,otirimuɔdenfoɔ
twist,VERB,kyim
deprivation,NOUN,ohia 
disorder,NOUN,basabasayɔ
twitch,VERB,woso 
disown,VERB,po 
twaddle,NOUN,ntoatoa
twinge,NOUN,ɛyeaa; ɛyeaa prɛko pɛ 
twine,NOUN,ahoma
twinkle,VERB,hyerɛnn 
tycoon,NOUN,osikani; ɔdefoɔ 
type,NOUN,su 
tumult,NOUN,gyegyeegye
tunnel,NOUN,asase ase kwan
turkey,NOUN,kurokurokoko
turban,NOUN,abɔtire
turbid,ADJECTIVE,tunkumm
turmoil,NOUN,basabasayɔ
tusk,NOUN,asommɛn
tussle,NOUN,apereapere 
truncheon,NOUN,aporibaa
trunk,NOUN,abena; dua abena 
trust,VERB,de werɛ hyɛ mu 
try,VERB,sɔ hwɛ
tube,NOUN,dorobɛn
tuberculosis,NOUN,nsamanwa
trouble,NOUN,ɔhaw
tug,VERB,twe; twe prɛko pɛ 
tuition,NOUN,adekyerɛ
tumble,VERB,hwe ase
tummy,NOUN,yafunu
troop,NOUN,asraafoɔ; asogyafoɔ 
trophy,NOUN,abasobɔdeɛ; abasobɔdeɛ kuruwa
trot,VERB,tu ammirika 
trip,VERB,patere; patere hwe 
truant,NOUN,ɔkobɔfoɔ
troupe,NOUN,agodifoɔ kuo
truce,NOUN,asomdwoeɛ apam; asomdwoeɛ nhyehyɛeɛ
trumpet,NOUN,totorobɛnto
truculent,ADJECTIVE,ntɔkwapɛfoɔ
truncate,VERB,twa so; twa so tiawa
triple,ADJECTIVE,mmɔho mmiɛnsa
triplicate,ADJECTIVE,nsɛsoɔ mmiɛnsa
trisect,VERB,kyɛ mu mmiɛnsa; kyɛm mmiɛnsa
trite,ADJECTIVE,atwam
triumph,NOUN,nkonim; nkonim kɛseɛ 
trinity,NOUN,Onyame Baasakoro; Onyankopɔn Baasakoro
trivial,ADJECTIVE,ɛho nhia 
dishes,NOUN,nkukuo
trick,NOUN,nnaadaa 
trespass,VERB,fom kɔ obi asase so
trifle,NOUN,adewa; ade ketewa 
trim,VERB,twitwa so; bubu so 
down,ADVERB | PREPOSITION,ɛfam; fam
up,ADVERB | PREPOSITION,ɛsoro; soro
tremble,VERB,woso 
trench,NOUN,amena donkudonku 
treacherous,ADJECTIVE,ɔdaadaafoɔ
trial,NOUN,asɛnnie 
tribe,NOUN,abusuakuo
tribulation,NOUN,amanehunu
tribunal,NOUN,asɛnnibea
traveller,NOUN,ɔkwantuni 
traverse,VERB,bɔ aporɔ
tribute,NOUN,ayɛyideɛ 
tread,VERB,nante 
treachery,NOUN,nkontompo
treasure,NOUN,aboɔdenneɛ 
treasurer,NOUN,sika korafoɔ; deɛ ɔkora sika
treasury,NOUN,ɔman sika 
trash,NOUN,nwira 
treat,VERB,yɛ 
treaty,NOUN,apam
trap,NOUN,afidie
transpose,VERB,di nsesa
transposition,NOUN,nsesadie
trapper,NOUN,ofidisumfoɔ
transverse,ADJECTIVE,ɛbea mu; deɛ ɛbea mu
distress,NOUN,ɔhaw
dissociate,VERB,te mu
distance,NOUN,ɛkwan
dissolve,VERB,nane
diverge,VERB,fa kwan foforɔ so 
document,NOUN,nwoma
dress,VERB,siesie ho
dribble,VERB,sosɔ 
dressing,NOUN,ahosiesie
doubt,NOUN,akyinnyegye
duplicate,ADJECTIVE | NOUN,sɛso
durable,ADJECTIVE,ɛkyɛ; deɛ ɛkyɛ
earmark,VERB,de to hɔ; de si hɔ
earn,VERB,nya; brɛ nya
eatable,ADJECTIVE,wɔtumi di; deɛ wɔtumi di
eerie,ADJECTIVE,ɛbɔ hu; deɛ ɛbɔ hu
efface,VERB,popa; popa anim 
effort,NOUN,mmɔden; mmɔdemmɔ
elate,VERB,gye ani; ma anigyeɛ mmorosoɔ
elder,ADJECTIVE,panin 
ego,NOUN,ahopɛ
egoism,NOUN,ahopɛ
egoist,NOUN,ɔhopɛfoɔ
egotist,NOUN,ɔhopɛfoɔ
eject,VERB,tu; tu firi
elaborate,ADJECTIVE,emu da hɔ fann; deɛ emu da hɔ fann
elastic,ADJECTIVE,atwetann; deɛ ɛyɛ atwetann 
election,NOUN,abatoɔ
elect,VERB,pa (obi) 
electorate,NOUN,abatofoɔ
electricity,NOUN,anyinam ahoɔden
elector,NOUN,abatofoɔ
elegance,NOUN,ahoɔfɛ
elegy,NOUN,owufoɔ anwonsɛm
elegant,ADJECTIVE,ɛyɛ fɛ; deɛ ɛyɛ fɛ 
elevate,VERB,pagya mu 
elevation,NOUN,mpagyamu
effect,NOUN,nsunsuansoɔ; akyire nsunsuansoɔ
effeminate,ADJECTIVE,ɔhodomfo
ebony,NOUN,okisibiri
effeminacy,NOUN,ahodom
efficacy,NOUN,tatahwe; (biribi) tatahwe
efficacious,ADJECTIVE,ɛyɛ tatahwe; deɛ ɛyɛ tatahwe
efficient,ADJECTIVE,deɛ ɔdi dwuma yie
efficiency,NOUN,pɛpɛɛpɛyɔ
effigy,NOUN,abaduaba
eclipse,NOUN,ɔsram duru sum 
earth,NOUN,asase
edible,ADJECTIVE,deɛ wɔdi; deɛ wɔtumi di
edit,VERB,siesie; hwɛ mu siesie
earthenware,NOUN,ayowa
editable,ADJECTIVE,wɔsesa mu a ɛyɛ yie; deɛ wɔsesa mu a ɛyɛ yie
editorial,NOUN,koowaa krataa mu samufoɔ adwenkyerɛ
editor,NOUN,koowaa krataa mu samufoɔ 
educate,VERB,kyerɛ; kyerɛkyerɛ
education,NOUN,adesua
earthquake,NOUN,asase wosoɔ
easy,ADJECTIVE,fo; ɛyɛ fo; deɛ ɛyɛ fo
ease,NOUN,ahodwo
eavesdrop,VERB,tetɛ tie
ecstasy,NOUN,anigyeɛ mmorosoɔ
edge,NOUN,ano; ano pɛɛ
dwarf,NOUN,mmoatia
dwell,VERB,tena; tena baabi
early,ADJECTIVE | ADVERB,ntɛm
dwelling,NOUN,atenaeɛ
dwindle,VERB,ɛso te; ma ɛso te 
dynasty,NOUN,adedie
dynamic,ADJECTIVE,ɛsesa; deɛ ɛsesa berɛ-ano berɛ-ano 
eager,ADJECTIVE,ani ku ho
each,DETERMINER | PRONOUN,ebiara
durability,NOUN,ɔkyɛ; biribi kyɛre
earl,NOUN,ɔdehyepanin
duration,NOUN,berɛ santen
driver,NOUN,ofidikafoɔ 
dung,NOUN,mmoa agyanan
drum,NOUN,twene
dust,NOUN,mfuturo
dusk,NOUN,anwummerɛ 
duress,NOUN,nhyɛ
duty,NOUN,asɛdeɛ 
dutiable,ADJECTIVE,deɛ wɔgye ho toɔ
drown,VERB,wu asuwuo
dromedary,NOUN,yoma 
drummer,NOUN,ɔkyerɛma
dry,ADJECTIVE,awo; deɛ awoɔ
dull,ADJECTIVE,tebɔɔ; bɔtee
dumbfound,VERB,nya ahodwiri
dual,ADJECTIVE,abɔnta
dupe,VERB,bu 
dowry,NOUN,ɔbaa tiri nsa
drag,VERB,twe ase 
drain,VERB,twe mu nsuo
drastic,ADJECTIVE,deɛ ano yɛ hye
draper,NOUN,ntomatɔnfoɔ
draw,VERB,dwi; drɔm 
dreadlocks,NOUN,mpɛsɛmpɛsɛ
dread,VERB,de ehu hwɛ (biribi) anim 
dredge,VERB,te mu
drift,VERB,sene nyaa; sene bɔkɔɔ
drill,VERB,bɔne; bɔne tokuro
drive,VERB,twi
drop,VERB,gya to fam 
drone,VERB,kasa aniha so 
drought,NOUN,ɔpɛberɛ
drizzle,VERB,pete
dogma,NOUN,nkyerɛkyerɛ
doll,NOUN,abaduaba
dollar,NOUN,dɔla 
domestic,ADJECTIVE,deɛ ɛfa afiyɔ ho
donate,VERB,yi ma
donation,NOUN,akyɛdeɛ
dormant,ADJECTIVE,ɛda faako; ɛtim faako; deɛ ɛda/ɛtim faako
dormitory,NOUN,asukuufoɔ daberɛ
dose,NOUN,dodoɔ 
diverse,ADJECTIVE,ahodoɔ ahodoɔ
divert,VERB,mane
divide,VERB,kyɛ; kyɛ mu
district,NOUN,mansini
division,NOUN,mpaapaemu
dividend,NOUN,kyɛfa
distribute,VERB,kyekyɛ
divisible,ADJECTIVE,wɔtumi kyɛ mu; deɛ wɔtumi kyɛ mu
divulge,VERB,da adi; da ahintasɛm adi
doctrine,NOUN,gyedie 
docile,ADJECTIVE,deɛ ɔda dinn 
disturb,VERB,ha; ha adwene
disturbance,NOUN,basabasayɔ
disunion,NOUN,mpaapaemu
ditto,NOUN,saa ara; saa ara bio
ditch,NOUN,bɔnka
dive,VERB,huri tom
distant,NOUN,akyirikyiri
ditty,NOUN,ɛdwom; ɛdwom tiawa
distraction,NOUN,deɛ ɛtwe adwene firi biribi so
distinguish,VERB,da mu nsonsonoeɛ adi
distil,VERB,te ho
distort,VERB,kyea
distortion,NOUN,asɛnkɔntɔnkye
distract,VERB,twe adwene firi
eliminate,VERB,yi firi mu; yi firi mu koraa 
endure,VERB,fa mu; mia ani fa mu
eligible,ADJECTIVE,ɛsɛ fata; deɛ ɛsɛ fata 
elimination,NOUN,nyifirimu
emerge,VERB,pue; pue firi
emetic,ADJECTIVE,abofonodeɛ 
employment,NOUN,adwuma
employee,NOUN,adwumayɛni 
endurance,NOUN,ahohyɛsoɔ
energetic,ADJECTIVE,ahoɔden wɔ mu; deɛ ahoɔden wɔ mu
engineer,NOUN,mfididwumayɛfoɔ
esteem,NOUN,obuo 
enlarge,VERB,ma ɛyɛ kɛseɛ
enrollment,NOUN,dintwerɛ
enthrone,VERB,si hene
entreat,VERB,srɛ; srɛ sɛ 
entrust,VERB,de hyɛ nsa
err,VERB,fom 
espouse,VERB,fa 
estimate,VERB,de adwene bu
evade,VERB,dwane
estimation,VERB,nseseɛ; akontabuo; anobuo 
estrange,VERB,ntam te; te ntam 
etcetera,ADVERB,ne deɛ ɛkeka ho
eschew,VERB,twe ho firi; twe ho firi ho
eternity,NOUN,afebɔɔ
et-al,ABBREVIATION,ne afoforɔ 
ether,NOUN,ewiem 
errand,NOUN,ɔsoma 
erroneous,ADJECTIVE,ɛyɛ mfomsoɔ; deɛ ɛyɛ mfomsoɔ
error,NOUN,mfomsoɔ 
escape,VERB,dwane 
escort,NOUN,ɔhobammɔfoɔ
establishment,NOUN,adwumakuo 
establish,VERB,firi aseɛ 
especially,ADVERB,titire; ne titire
epitaph,NOUN,ɛnna so nkaedum
equal,ADJECTIVE,korɔ
eradicate,VERB,sɛe; sɛe koraa 
equilateral,ADJECTIVE,afa nyinaa yɛ pɛ; deɛ afa nyinaa yɛ pɛ
equality,NOUN,pɛpɛɛpɛyɔ
environment,NOUN,atenaeɛ 
equally,ADVERB,pɛ; pɛpɛɛpɛ 
envisage,VERB,hwɛ anim 
era,NOUN,berɛ bi mu; berɛ pɔtee mu
erase,VERB,popa
erect,NOUN,potii
erode,VERB,hi
enumerate,VERB,kan; kan mmaako mmaako
envelope,NOUN,aduradeɛ
envious,ADJECTIVE,ani bere; ani bere adeɛ
epidemic,NOUN,nsaneyareɛ
rampant,ADJECTIVE,ate atese
epileptic,NOUN,deɛ ɔtwa
enthusiasm,NOUN,ahokeka
enthusiast,NOUN,deɛ n’ani gye biribi ho pa ara
entice,VERB,daadaa
enticement,NOUN,nnaadaa
entitle,VERB,wɔ ho kwan; nya ho kwan
entire,ADJECTIVE,nyinaa 
entitlement,NOUN,akwannya
entry,NOUN,nwuramu 
entrance,NOUN,ɛkwan 
entrails,NOUN,yam adeɛ; ayamdeɛ 
enshrine,VERB,kora 
ensnare,VERB,yi
ensue,VERB,si akyire
entangle,VERB,kyekyere
enter,VERB,wura mu
entertain,VERB,gye (obi) ani 
entertainment,NOUN,anigyeɛ; anigyesɛm
enthral,VERB,kyere adwene
enlargement,NOUN,ntrɛmu
enlighten,VERB,ma nimdeɛ; ma mu nimdeɛ
enlightenment,NOUN,anibue
enlist,VERB,dɔm 
enmity,NOUN,ɔtan 
enough,DETERMINER | PRONOUN,ɛdɔɔso 
enormous,ADJECTIVE,ɛso; deɛ ɛso
enhance,VERB,pagya mu
enrage,VERB,hyɛ abufuo
enroll,VERB,twerɛ din wɔ sukuu mu 
engrave,VERB,kurukyire
engross,VERB,gye adwene (nyinaa)
enjoy,VERB,pɛ 
engraver,NOUN,okurukyirefoɔ
engulf,VERB,mene
enforce,VERB,hwɛ ma afoforɔ di mmara so
enigma,NOUN,deɛ ne nteaseɛ yɛ den
enigmatic,ADJECTIVE,hwanyann
enfetter,VERB,de nkɔnsɔnkɔnsɔn gu
enjoyment,NOUN,anigyeɛ
energy,NOUN,ahoɔden 
enfold,VERB,twa ho hyia
engage,VERB,kye adwene 
engagement,NOUN,awaregyeɛ 
endeavour,VERB,bɔ mmɔden
engine,NOUN,afidie
encouragement,NOUN,nkuranhyɛ
encroach,VERB,didi wura obi asase mu; wura obi asase mu 
encyclopaedia,NOUN,nimdeɛ dodoɔ nwoma
encumber,VERB,hyɛ so 
endear,VERB,ma wɔdɔ wo 
endless,ADJECTIVE,ɛnni awieeɛ; deɛ ɛnni awieeɛ 
endorse,VERB,de nsa hyɛ aseɛ; de nsa hyɛ krataa ase
endow,VERB,yi ma; gyae ma
endowment,NOUN,fotoɔ
emulate,VERB,suasua; suasua obi
emperor,NOUN,ɔhempɔn
emit,VERB,pu 
encourage,VERB,hyɛ nkuran
emission,NOUN,wisie 
enable,VERB,ma ho kwan 
enclose,VERB,de fa ho; de fa ho nyinaa
encounter,VERB,hyia
emigrate,VERB,tu kɔ 
emigration,NOUN,ntukɔ 
emigrant,NOUN,otufoɔ
eminent,ADJECTIVE,titire
emissary,NOUN,ɔsomafoɔ 
emotion,NOUN,atenka
emphasize,VERB,si so dua
employ,VERB,fa (obi) adwuma
embellish,VERB,siesie; siesie ho
embellishment,NOUN,nsiesie
ember,NOUN,ogyasrama
embezzle,VERB,wia; wia sika a wɔde ahyɛ wo nsa 
embezzlement,NOUN,korɔno; korɔnobɔ
elongate,VERB,twe mu
embitter,VERB,ma ɛhye (obi)
emblem,NOUN,ahyɛnsodeɛ 
embrace,VERB,bam 
embryo,NOUN,mogyatoa
emend,VERB,sesa mu
elite,NOUN,asikafoɔ; adefoɔ 
elope,VERB,dwane; dwane kɔware
eloquent,ADJECTIVE,ano ate; deɛ n’ano ate
eloquence,NOUN,anoteɛ
elucidate,VERB,kyerɛ mu; kyerɛkyerɛ mu
embargo,NOUN,osiakwan mmara
elude,VERB,fa kɔn ho
emaciate,VERB,fɔn
emaciated,ADJECTIVE,deɛ wafɔn
email,NOUN,intanɛt so nkra; abɛɛfo kwantempɔn so nkra 
emasculate,VERB,si obi barimayɔ ho kwan 
embalm,VERB,kora 
embark,VERB,foro 
embarrass,VERB,hyɛ aniwuo
embarrassment,NOUN,animguaseɛ
embassy,NOUN,ɔman ananmusini asoeɛ wɔ ɔman foforɔ mu
road-safety,PHRASE,ɛkwan so kosɛkosɛ
evangelist,NOUN,ɔsɛmpakani 
safe-trip,PHRASE,ɛkwan so dwoodwoo
evangelize,VERB,ka asɛm pa 
exceed,VERB,boro so; ma ɛboro so
excellent,ADJECTIVE,ɛkɔ yie; ɛtwa yie
excess,NOUN,deɛ aboro so
excel,VERB,twa 
excavation,NOUN,amenatuo
exotic,ADJECTIVE,ɛfiri amannɔne; deɛ ɛfiri amannɔne
expand,VERB,bae mu
expansion,NOUN,mmaemu
extend,VERB,twe mu
extension,NOUN,ntrɛmu 
extortion,NOUN,adamugyeɛ
compensation,NOUN,mpata 
extort,VERB,nya kwammɔne so
facile,ADJECTIVE,ani-ani 
compensate,VERB,pata
faggot,NOUN ,barima a ɔne mmarima da
facilitate,VERB,boa 
facsimile,NOUN,sɛso 
faction,NOUN,ɔfa 
factory,NOUN,mfididwumabea
factor,NOUN,aboadeɛ
factual,ADJECTIVE,nokorɛ; deɛ ɛyɛ nokorɛ
fade,VERB,pa
fair,ADJECTIVE,deɛ ɔyɛ pɛpɛɛpɛ
faith,NOUN,gyedie
faithful,ADJECTIVE,nokwafoɔ
fake,ADJECTIVE,deɛ ɛnyɛ papa
fag,VERB,yɛ adwumaden
fail,VERB,di ntwo
extraordinary,ADJECTIVE,adutwam 
failure,NOUN,nkoguo
faint,VERB,twa hwe
fall,VERB,te hwe
extra,ADJECTIVE,ɛka ho; deɛ ɛka ho
extract,VERB,twe firi mu; twe firim
extraction,NOUN,ntwefirimu
extirpate,VERB,tu aseɛ; tu aseɛ koraa
eyesight,NOUN,adehunu
eyewitness,NOUN,ɔdanseni 
fabric,NOUN,ntoma; ntomatam
fibre,NOUN,ntɛtɛ
extravagant,ADJECTIVE,deɛ ɔsɛe sika; sikasɛefoɔ 
extravagance,NOUN,sikasɛeɛ
fabricate,VERB,bɔ srɛ mu ka; bɔ srɛm ka
exuberance,NOUN,deɛ anigyeɛ wɔ mu; deɛ anigyeɛ mmorosoɔ wɔ mu
extricate,VERB,nya fawohodie; nya faahodie; nya ahofadie 
eyesore,NOUN,deɛ ɛyɛ tan pa ara 
fable,NOUN,anansesɛm
fabulous,ADJECTIVE,papa pa ara 
fabrication,NOUN,bɔsrɛmuka
extenuate,VERB,dwodwo; dwodwo ano
exterior,ADJECTIVE | NOUN,abɔntene 
exterminate,VERB,tɔre aseɛ
extinct,ADJECTIVE,aseɛ atɔre; deɛ aseɛ atɔre
exploitation,NOUN,asisie 
extinguish,VERB,dum; dum gya
explore,VERB,hwehwɛ; hwehwɛ mu 
extinguisher,NOUN,odumgya
fire-service,NOUN,odumgya adwuma
extol,VERB,yi ayɛ
exploit,VERB,fa kwammɔne so nya ho mfasoɔ
exploration,NOUN,nhwehwɛmu
export,VERB,de adwadeɛ kɔ amannɔne kɔtɔn; de adwadeɛ kɔ aburokyire kɔtɔn
explication,NOUN,nkyerɛkyerɛmu
explicate,VERB,kyerɛ mu; kyerɛkyerɛ mu; kyerɛkyerɛ mu fann 
experience,NOUN,suahunu
express,VERB,ka… adwene; ka w’adwene 
expert,NOUN,biribi mu nimdefoɔ
expertise,NOUN,nimdeɛ; biribiyɔ mu nimdeɛ
expire,VERB,twa mu; twam 
explain,VERB,kyerɛ mu; kyerɛkyerɛ mu
expose,VERB,te to
explanation,NOUN,nkyerɛkyerɛmu
expression,NOUN,nkasaeɛ
expulsion,NOUN,nyifirimu
exposed,ADJECTIVE,deɛ wɔate ne to
exquisite,ADJECTIVE,fɛfɛɛfɛ; deɛ ɛyɛ fɛ pa ara
extant,ADJECTIVE,ɛda so wɔ hɔ; deɛ ɛda so wɔ hɔ
expect,VERB,hwɛ anim
expatiate,VERB,kyerɛ mu yie; kyerɛkyerɛ mu yie
expedite,VERB,yɛ no ntɛm
expedition,NOUN,akwantuo 
expel,VERB,yi adi
explicit,ADJECTIVE,fann; emu da hɔ fann
explode,VERB,pae; ma ɛpae
exhort,VERB,hyɛ nkuran
exhume,VERB,tu funu
exigency,NOUN,ahiadeɛ; mprempren ahiadeɛ 
exile,NOUN,nkoasom
exit,NOUN,apueeɛ
exonerate,VERB,siane tire
exoneration,NOUN,tiri sianeɛ
exorbitant,ADJECTIVE,ne boɔ yɛ den dodo; deɛ ne boɔ yɛ den dodo
exorcise,VERB,pamo; pamo honhom fi firi 
evil-spirit,NOUN,honhommɔne 
exclaim,VERB,tea mu; team 
exclusion,NOUN,nyifirimu
exclude,VERB,yi firi mu
excrement,NOUN,agyanan
excreta,NOUN,agyanan 
excommunicate,VERB,yi firi mu
excursion,NOUN,nsrahwɛ
execute,VERB,yɛ 
excuse,VERB,fa kyɛ; de kyɛ 
execution,NOUN,ne yɛ; dwumadie 
executioner,NOUN,ɔbrafoɔ 
exemption,NOUN,nyifirimu
exempt,VERB,yi firi mu 
exert,VERB,mia ani 
exertion,NOUN,animia
exhale,VERB,gu ahome
exhaust,VERB,yɛ ne nyinaa 
exhaustion,NOUN,ɔbrɛ
exhibit,VERB,da (no) adi
exhibition,NOUN,oyikyerɛ
exchange,VERB,de sesa; de di nsesa
excise,NOUN,ɛtoɔ 
excite,VERB,ma ahokeka 
excitement,NOUN,anigyeɛ mmorosoɔ 
elation,NOUN,anigyeɛ mmorosoɔ
exaggerate,VERB,hanehane ani ka
exaggeration,NOUN,anihanehane
examine,VERB,pɛnsɛnpɛnsɛn mu
exalt,VERB,hoahoa
exaltation,NOUN,ayɛyie
examination,NOUN,nsɔhwɛ
exasperation,NOUN,abufuhyɛ 
exasperate,VERB,hyɛ abufuo
annoyance,NOUN,abufuhyɛ 
excavate,VERB,tu; tu fam; tu amena 
evangelism,NOUN,asɛmpaka
europe,NOUN,aburokyire
european,NOUN,oburoni 
event,NOUN,abasɛm; deɛ asie
evergreen,ADJECTIVE,frɔmfrɔm; deɛ ɛyɛ frɔmfrɔm
evict,VERB,tu 
eviction,NOUN,otuo
ever,ADVERB,da
every,DETERMINER,biara
evidence,NOUN,adanseɛ
evident,ADJECTIVE,emu da hɔ fann; deɛ emu da hɔ fann
evil,ADJECTIVE | NOUN,bɔne
evoke,VERB,de ba adwene mu 
exacerbate,VERB,ma ɛsɛe koraa; sɛe koraa 
masturbate,VERB,sosɔ barima mu 
exact,ADJECTIVE,pɛpɛɛpɛ
fallible,ADJECTIVE,tumi fom; deɛ ɔtumi fom
fallacy,NOUN,atosɛm
false,ADJECTIVE,ɛnyɛ nokorɛ; deɛ ɛnyɛ nokorɛ
famished,ADJECTIVE,deɛ wɔakyere no kɔm 
famish,VERB,kyere kɔm; ma ɛkɔm de 
fasten,VERB,kyekyere
fashion,NOUN,deɛ aba soɔ
fascinate,VERB,kyere adwene
feed-2,VERB,ma aduane 
feign,VERB,patu
felicitate,VERB,ma amo 
sixth,NUMBER,deɛ ɛtɔ so nsia
fist,NOUN,kuturuku
seventh,NUMBER,deɛ ɛtɔ so nson
fisherman,NOUN,ɔfareni 
fishmonger,NOUN,nsuomnamtɔnfoɔ
float,VERB,tɛ ani; tɛ nsuo ani
flower,NOUN,nhwiren
flock,NOUN,asafo
flog,VERB,hwe
flood,NOUN,nsuyiri
flax,NOUN,asaawa 
flop,VERB,hwe ase
flourish,VERB,nyini 
flout,VERB,bu mmara so
flow,VERB,tene
flea,NOUN,ɔkramandwie
flex,VERB,bu mu
fluctuate,VERB,kɔ soro ba fam
fledge,VERB,fu ntakra
flee,VERB,dwane
flip,VERB,dane
fleece,NOUN,odwan nwi
flimsy,ADJECTIVE,hare; deɛ emu yɛ hare 
fling,VERB,to 
flint,NOUN,twɛreboɔ
flatter,VERB,de ano toto ho
flame,NOUN,ogyaframa
flank,NOUN,nkyɛnmu
flash,VERB,pa anyinam
fix,VERB,kyekyere 
flashy,ADJECTIVE,fɛ; fɛfɛɛfɛ; deɛ ɛyɛ fɛ
flask,NOUN,tumpan
flatulence,NOUN,ɛta
flavour,NOUN,ɛdɛ; ne dɛ
flattery,NOUN,anodɛ
flaw,NOUN,ɛdɛm 
fit,ADJECTIVE,ɛfata; deɛ ɛfata 
fine,ADJECTIVE,papa pa ara 
flabbergast,VERB, 
fire,NOUN,ogya 
flabby,ADJECTIVE, 
flag,NOUN, 
flannel,NOUN,kuntutam
flagrant,ADJECTIVE,anidahɔ; deɛ ɛyɛ anidahɔ 
firmament,NOUN,ewiem
financial,ADJECTIVE | NOUN,sikasɛm; deɛ ɛfa sikasɛm ho
finance,NOUN,sikasɛm 
eighth,NUMBER,deɛ ɛtɔ so nwɔtwe
firearm,NOUN,etuo 
figure,NOUN,mfonin 
firewood,NOUN,egya
firm,ADJECTIVE,emu yɛ den; deɛ emu yɛ den 
fiscal,ADJECTIVE,ɛtoɔ; ɛtoɔ ho nsɛm 
ninth,NUMBER,deɛ ɛtɔ so nkron
figurehead,NOUN,ɔkandifoɔ
tenth,NUMBER,deɛ ɛtɔ so du
filch,VERB,wia
file,NOUN,nkrataa adaka 
fill,VERB,hyɛ ma 
final,ADJECTIVE | NOUN,ɛtwa toɔ; deɛ ɛtwa toɔ 
fetus,NOUN,mogyatoa
fiasco,NOUN,nkoguo 
fidelity,NOUN,nokorɛdie 
fiction,NOUN,anansesɛm
fiddle,NOUN,sankuo
fourth,NUMBER,deɛ ɛtɔ so nan
field,NOUN,asase; asasetam
fifth,NUMBER,deɛ ɛtɔ so num
first,NUMBER,kane
third,NUMBER,deɛ ɛtɔ so mmienu
fertile,NOUN,asase papa 
ferry,NOUN,atwareɛ
fete,NOUN,apontoɔ 
fetid,ADJECTIVE,ɛbɔn; deɛ ɛbɔn 
fetish,NOUN,ɔbosom
abosonnan,EDIN | noun,fetish building
fetish-priest,NOUN,ɔbosomfo 
fetter,NOUN,nkɔnsɔnkɔnsɔn
few,DETERMINER | PRONOUN | ADJECTIVE,kakraa bi
feud,NOUN,ntɔkwa
felicitations,NOUN,nkamfoɔ 
feline,ADJECTIVE,nkra; deɛ ɛfa nkra ho 
favour,NOUN,adɔeɛ 
fellow,NOUN,ɔyɔnkoɔ
felon,NOUN,ɔbɔneyɛfoɔ
felony,NOUN,bɔne kɛseɛ
fend,VERB,hwɛ ho; hwɛ ankasa ho 
ferocious,ADJECTIVE,tirim yɛ den; deɛ ne tirim yɛ dɛ
fauna,NOUN,beaeɛ pɔtee bi mmoa
